patient_id,evidence_hash,model,temperature,prompt_hash,base_map_free_prompt_hash,prompt_difference,status,generated_utc,attempts,error
3066,7bacb9c80f65b11f16b3d457bb14b0fa40ccd7e1cb397e5996c8f387fbc8b189,gemini-3.8-flash,0,0b278f0c5023f77ba3db455b15d761fa6b7793f0fa13c13ab70591ca47df2f62,0981cfb28a6842e09f2adf4e636292c2f5ced91462eb17a663a4c02e50992697,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:04:58.179533+00:00,0,
3223,041734eafef3a6e991925895bfeed10c8667f32f03b5f1cf688c2ea013b3f375,gemini-3.8-flash,0,7efd2546f132c8e4d96c562f0a889716347a4ec4313e577422210f5d8e1bde43,4d0e94ad12b8d54dea5bedc4d3e06fd83acac36362f2c6b2400d9b465d22ff56,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:05:09.613746+00:00,0,
3429,22d128f19f6e805fa213e1aee237931e085143b2213e6260ef38c5a976814ad5,gemini-3.8-flash,0,c1d88e3143390ee31fb1f395de76b2a04d92e6d617fe8df65b0fa334015b8c6a,9472cfa07739cf31a9ff715f1a7012e04bf0d522b118c3eaacc05eca53aa66a4,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:05:20.353404+00:00,0,
3625,06faa251909bec0e6d57be402e5c132f74ccc40023531c70c7715c6ec61cf24f,gemini-3.8-flash,0,f88191dbd5ee4b563a47b6c14fbf3a268e7d66cee87545f5a33c24ce8d745f54,d55d2a37a411d86e17ef457d69541aad8778de0d487816ac54cfba0ae148af6d,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:05:27.167045+00:00,0,
3832,ade3f47b54b766c55b367793180ffba0f5ea5f7c14d83d3ffe641b027a1d66ff,gemini-3.8-flash,0,6c9dc9111088441d2a7ac3e645bc3d323a8e1a99177793efedbe0c34e8011251,582e99be339c36976ab7c573e172228cd2727bd8dfece474119def9287864855,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:05:33.864464+00:00,0,
4059,5adcd96489d5bcebb93067e3006e059fb55c41c4939d853b1e53d281ab90a315,gemini-3.8-flash,0,06c358b7ec2235273f7c55e44bcdd84f58b6a21c84a9d0450da3ce0898253014,6fae412b5a4dce6d7fa1b4806ac00141b4a164b16780afa926075e172decf81d,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:05:42.967612+00:00,0,
41282,f2949c37b866ce091504e963ecb827914f15d76640217c23f4478b2305d6bf3c,gemini-3.8-flash,0,c015848c03425f6087758c87ba45d3de22378654470fddc88b6c7243259688e6,e9ce4aa487cc278cba5c1f779ee1ab343eb464513b055ed8d1c0be8c3b1341b8,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:05:55.281806+00:00,0,
50860,d4dfb6c22c41aa845141054fba6f87b983a8054733b8f544ece7ce236c1297ab,gemini-3.8-flash,0,a87b093750845250445e43da55f95c77689c1bee03e0ba1d2e532a06726f2ead,726d9a4cbc4b37f6ebb271a5d0bdf03fe93d1e3d1ce15ea3a224e836a548497b,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:06:03.877544+00:00,0,
116531,0fb9d5f9efd1da184ca63425034c443f8f55a5af505a8e633e6ff42b9fbba22e,gemini-3.8-flash,0,3327af7d2a43247a8f4c6d84e7ed7730c0fa0e8317dc2376801e2ebec96165eb,364609f76a750383152512fba03c570ba3cde4a68e769d717e21f6408b6f8f09,taxonomy mapping block + one taxonomy-use instruction,contract_failed,2026-09-04T03:06:12.150038+00:00,0,
186755,6d5f5e615e3115283161078524c2a3b8213f42b35d813ee91f1329736a565d2e,gemini-3.8-flash,0,efcf267d72fa2594af4d3477a4f23b8f75b6c27a168356aa2ca065d2f1e8c418,19334d5682cd3b2a708059347b601f4710e1844e57269fe34d8824bec2b65cf1,taxonomy mapping block + one taxonomy-use instruction,complete,2026-09-04T03:06:20.294114+00:00,0,
